Bordetella pertussis
Zymomonas mobilis
Legionella pneumophila
Klebsiella pneumoniae
Bifidobacterium longum
Mycobacterium tuberculosis
Flavobacterium johnsoniae
Bacteroides thetaiotaomicron
Bacteroides fragilis
Acinetobacter baumannii
Rhodococcus jostii
Neisseria meningitidis
Listeria monocytogenes
Vibrio cholerae
Leptospira interrogans
Clostridium perfringens
Yersinia pestis
Enterococcus faecalis
Cutibacterium acnes
Treponema pallidum
Streptococcus pyogenes
Nocardia farcinica
Chlamydia trachomatis
Helicobacter pylori
Prochlorococcus marinus
Clostridium botulinum
Salmonella enterica
Capnocytophaga canimorsus
Pseudomonas aeruginosa
Bacillus cereus
Bacillus anthracis
Brucella melitensis
Bacillus subtilis
Staphylococcus aureus
Pelagibacter ubique
Streptococcus agalactiae
Staphylococcus epidermidis
Streptomyces avermitilis
Escherichia coli
Rhizobium leguminosarum
Pseudomonas putida
Campylobacter jejuni
Azotobacter vinelandii
Chlamydia pneumoniae
Rickettsia rickettsii
Streptococcus pneumoniae
Corynebacterium glutamicum
Synechococcus elongatus
Streptomyces coelicolor
Porphyromonas gingivalis
